Web Search interest: ebola
United States; India
Past 90 days

Interest over time
Day,United States,India
2014-07-30,13,1
2014-07-31,16,2
2014-08-01,26,2
2014-08-02,31,3
2014-08-03,22,2
2014-08-04,21,3
2014-08-05,26,4
2014-08-06,20,4
2014-08-07,15,6
2014-08-08,15,13
2014-08-09,11,11
2014-08-10,8,13
2014-08-11,7,15
2014-08-12,6,14
2014-08-13,5,11
2014-08-14,5,9
2014-08-15,5,5
2014-08-16,4,5
2014-08-17,4,6
2014-08-18,5,10
2014-08-19,4,16
2014-08-20,7,11
2014-08-21,7,7
2014-08-22,5,6
2014-08-23,3,5
2014-08-24,3,5
2014-08-25,3,4
2014-08-26,3,6
2014-08-27,3,5
2014-08-28,3,4
2014-08-29,3,4
2014-08-30,3,3
2014-08-31,2,2
2014-09-01,2,3
2014-09-02,3,2
2014-09-03,4,3
2014-09-04,3,2
2014-09-05,4,2
2014-09-06,3,2
2014-09-07,2,2
2014-09-08,3,2
2014-09-09,3,2
2014-09-10,3,2
2014-09-11,3,2
2014-09-12,3,2
2014-09-13,2,2
2014-09-14,2,1
2014-09-15,3,1
2014-09-16,5,1
2014-09-17,4,1
2014-09-18,3,1
2014-09-19,4,1
2014-09-20,3,1
2014-09-21,2,1
2014-09-22,3,1
2014-09-23,4,2
2014-09-24,4,1
2014-09-25,4,1
2014-09-26,3,1
2014-09-27,3,1
2014-09-28,5,1
2014-09-29,4,1
2014-09-30,29,1
2014-10-01,53,2
2014-10-02,66,2
2014-10-03,63,2
2014-10-04,48,1
2014-10-05,41,2
2014-10-06,41,2
2014-10-07,34,2
2014-10-08,55,3
2014-10-09,56,3
2014-10-10,40,2
2014-10-11,28,2
2014-10-12,45,3
2014-10-13,51,4
2014-10-14,55,4
2014-10-15,91,5
2014-10-16,100,6
2014-10-17,82,5
2014-10-18,51,5
2014-10-19,37,4
2014-10-20,34,4
2014-10-21,34,3
2014-10-22,26,2
2014-10-23,22,2
2014-10-24,51,4
2014-10-25,23,3
2014-10-26,19,3
2014-10-27,24,3
2014-10-28, , 
2014-10-29, , 


Top subregions for United States
Subregion,United States
Oklahoma,100
Texas,93
District of Columbia,90
South Dakota,74
Louisiana,74
New York,74
Wyoming,72
Delaware,71
Ohio,70
Mississippi,70
West Virginia,69
Connecticut,69
Georgia,69
Maryland,68
Kentucky,67
North Dakota,67
Arkansas,67
New Jersey,66
Alabama,66
Maine,65
Vermont,65
Rhode Island,65
Alaska,63
Massachusetts,63
Illinois,63
Montana,63
Tennessee,63
Nebraska,62
Virginia,62
North Carolina,61
Missouri,61
Florida,61
Pennsylvania,61
Michigan,60
Kansas,59
California,59
New Mexico,59
Hawaii,59
South Carolina,58
Minnesota,58
Iowa,57
New Hampshire,57
Wisconsin,57
Arizona,56
Washington,56
Colorado,55
Indiana,55
Nevada,54
Idaho,52
Utah,49
Oregon,34

Top subregions for India
Subregion,India
Goa,100
Assam,60
Odisha,50
Uttarakhand,49
Pondicherry,47
Karnataka,46
Haryana,45
Tamil Nadu,39
Maharashtra,34
Kerala,32
Andhra Pradesh,32
Punjab,30
Delhi,29
Uttar Pradesh,26
West Bengal,25
Gujarat,24
Bihar,24
Chandigarh,23
Rajasthan,20
Madhya Pradesh,20
Andaman and Nicobar Islands,0
Arunachal Pradesh,0
Chhattisgarh,0
Daman and Diu,0
Dadra and Nagar Haveli,0
Himachal Pradesh,0
Jharkhand,0
Jammu and Kashmir,0
Lakshadweep,0
Meghalaya,0
